iter	Passed	Remaining
0	152	151943
1	153	76576
2	154	51428
3	156	38858
4	157	31327
5	158	26300
6	160	22713
7	161	20012
8	162	17916
9	163	16234
10	165	14861
11	166	13714
12	167	12744
13	169	11914
14	170	11195
15	171	10564
16	173	10006
17	174	9512
18	175	9069
19	176	8669
20	178	8307
21	179	7982
22	180	7682
23	182	7406
24	183	7153
25	184	6921
26	186	6703
27	187	6502
28	188	6315
29	189	6139
30	191	5979
31	192	5826
32	193	5683
33	195	5548
34	196	5421
35	197	5300
36	199	5185
37	200	5076
38	201	4972
39	203	4874
40	204	4781
41	205	4691
42	206	4606
43	208	4525
44	209	4448
45	210	4373
46	212	4301
47	213	4233
48	214	4167
49	215	4103
50	217	4043
51	218	3984
52	219	3929
53	221	3876
54	222	3824
55	223	3773
56	225	3724
57	226	3677
58	227	3631
59	228	3587
60	230	3545
61	231	3504
62	232	3464
63	234	3424
64	235	3387
65	236	3351
66	238	3316
67	239	3281
68	240	3247
69	242	3215
70	243	3183
71	244	3152
72	245	3122
73	247	3093
74	248	3065
75	249	3037
76	251	3010
77	252	2983
78	253	2957
79	254	2932
80	256	2907
81	257	2883
82	258	2860
83	260	2837
84	261	2814
85	262	2792
86	264	2770
87	265	2749
88	266	2729
89	267	2708
90	269	2689
91	270	2669
92	271	2650
93	273	2631
94	274	2613
95	275	2595
96	276	2578
97	278	2560
98	279	2544
99	280	2527
100	282	2511
101	283	2495
102	284	2479
103	286	2464
104	287	2448
105	288	2434
106	289	2419
107	291	2405
108	292	2391
109	293	2377
110	295	2363
111	296	2350
112	297	2336
113	298	2323
114	300	2310
115	301	2298
116	302	2285
117	304	2273
118	305	2261
119	306	2249
120	308	2237
121	309	2225
122	310	2214
123	311	2203
124	313	2192
125	314	2181
126	315	2170
127	317	2159
128	318	2149
129	319	2139
130	320	2129
131	322	2119
132	323	2109
133	324	2099
134	326	2090
135	327	2080
136	328	2071
137	330	2061
138	331	2052
139	332	2043
140	333	2034
141	335	2025
142	336	2016
143	337	2008
144	339	1999
145	340	1991
146	341	1983
147	343	1974
148	344	1966
149	345	1958
150	346	1950
151	348	1942
152	349	1934
153	350	1927
154	352	1919
155	353	1912
156	354	1904
157	356	1897
158	357	1889
159	358	1883
160	360	1876
161	361	1869
162	362	1862
163	364	1855
164	365	1848
165	366	1842
166	367	1835
167	369	1828
168	370	1821
169	371	1815
170	373	1808
171	374	1801
172	375	1795
173	376	1789
174	378	1782
175	379	1776
176	380	1770
177	382	1764
178	383	1758
179	384	1752
180	385	1746
181	387	1740
182	388	1734
183	389	1728
184	391	1723
185	392	1717
186	393	1711
187	395	1706
188	396	1700
189	397	1695
190	398	1689
191	400	1684
192	401	1678
193	402	1672
194	403	1667
195	405	1662
196	406	1657
197	407	1651
198	409	1646
199	410	1641
200	411	1636
201	412	1631
202	414	1626
203	415	1621
204	416	1616
205	418	1611
206	419	1606
207	420	1601
208	421	1597
209	423	1592
210	424	1587
211	425	1583
212	427	1578
213	428	1573
214	429	1569
215	431	1564
216	432	1560
217	433	1555
218	435	1551
219	436	1547
220	437	1542
221	438	1538
222	440	1533
223	441	1529
224	442	1525
225	444	1521
226	445	1517
227	446	1513
228	448	1508
229	449	1504
230	450	1500
231	451	1496
232	453	1492
233	454	1488
234	455	1484
235	457	1480
236	458	1476
237	459	1472
238	461	1468
239	462	1464
240	463	1460
241	465	1456
242	466	1452
243	467	1448
244	468	1444
245	470	1441
246	471	1437
247	472	1433
248	474	1430
249	475	1426
250	476	1422
251	478	1418
252	479	1415
253	480	1411
254	481	1408
255	483	1404
256	484	1401
257	486	1397
258	487	1394
259	488	1390
260	489	1387
261	491	1383
262	492	1380
263	493	1376
264	495	1373
265	496	1369
266	497	1366
267	499	1363
268	500	1359
269	501	1356
270	502	1353
271	504	1349
272	505	1346
273	506	1342
274	508	1339
275	509	1336
276	510	1333
277	512	1329
278	513	1326
279	514	1323
280	516	1320
281	517	1317
282	518	1314
283	520	1311
284	521	1307
285	522	1304
286	524	1301
287	525	1298
288	526	1295
289	527	1292
290	529	1289
291	530	1286
292	531	1283
293	533	1280
294	534	1277
295	535	1274
296	537	1271
297	538	1268
298	539	1265
299	540	1262
300	542	1259
301	543	1256
302	544	1253
303	546	1250
304	547	1247
305	548	1244
306	550	1241
307	551	1238
308	552	1236
309	554	1233
310	555	1230
311	556	1227
312	557	1224
313	559	1221
314	560	1219
315	561	1216
316	563	1213
317	564	1210
318	565	1207
319	567	1205
320	568	1202
321	569	1199
322	571	1197
323	572	1194
324	573	1191
325	574	1188
326	576	1186
327	577	1183
328	578	1180
329	580	1177
330	581	1175
331	582	1172
332	584	1169
333	585	1167
334	586	1164
335	587	1161
336	589	1159
337	590	1156
338	591	1154
339	593	1151
340	594	1148
341	595	1146
342	597	1143
343	598	1141
344	599	1138
345	600	1135
346	602	1133
347	603	1130
348	604	1128
349	606	1125
350	607	1123
351	608	1121
352	610	1118
353	611	1116
354	612	1113
355	614	1111
356	615	1108
357	616	1106
358	618	1103
359	619	1101
360	620	1098
361	622	1096
362	623	1093
363	624	1091
364	625	1088
365	627	1086
366	628	1084
367	629	1081
368	631	1079
369	632	1076
370	633	1074
371	635	1072
372	636	1069
373	637	1067
374	639	1065
375	640	1062
376	641	1060
377	643	1058
378	644	1056
379	645	1053
380	647	1051
381	648	1049
382	649	1046
383	651	1044
384	652	1042
385	653	1039
386	654	1037
387	656	1035
388	657	1032
389	658	1030
390	660	1028
391	661	1025
392	662	1023
393	664	1021
394	665	1019
395	666	1016
396	667	1014
397	669	1012
398	670	1010
399	671	1007
400	673	1005
401	674	1003
402	675	1001
403	677	999
404	678	996
405	679	994
406	681	992
407	682	990
408	683	987
409	685	985
410	686	983
411	687	981
412	688	979
413	690	976
414	691	974
415	692	972
416	694	970
417	695	968
418	696	966
419	698	964
420	699	961
421	700	959
422	701	957
423	703	955
424	704	953
425	705	951
426	707	949
427	708	946
428	709	944
429	711	942
430	712	940
431	713	938
432	715	936
433	716	934
434	717	932
435	719	930
436	720	928
437	721	926
438	723	924
439	724	921
440	725	919
441	727	917
442	728	915
443	729	913
444	730	911
445	732	909
446	733	907
447	734	905
448	736	903
449	737	901
450	738	899
451	740	897
452	741	895
453	742	893
454	744	891
455	745	889
456	746	887
457	747	885
458	749	883
459	750	881
460	751	879
461	753	877
462	754	875
463	755	873
464	757	871
465	758	869
466	759	867
467	761	865
468	762	863
469	763	861
470	764	859
471	766	857
472	767	855
473	768	853
474	770	851
475	771	849
476	772	847
477	774	845
478	775	843
479	776	841
480	777	839
481	779	837
482	780	835
483	781	833
484	783	831
485	784	829
486	785	827
487	787	825
488	788	823
489	789	821
490	790	819
491	792	817
492	793	816
493	794	814
494	796	812
495	797	810
496	798	808
497	800	806
498	801	804
499	802	802
500	804	801
501	805	799
502	806	797
503	808	795
504	809	793
505	810	791
506	812	789
507	813	787
508	814	785
509	816	784
510	817	782
511	818	780
512	819	778
513	821	776
514	822	774
515	823	772
516	825	770
517	826	768
518	827	767
519	829	765
520	830	763
521	831	761
522	832	759
523	834	757
524	835	755
525	836	754
526	838	752
527	839	750
528	840	748
529	842	746
530	843	744
531	844	743
532	845	741
533	847	739
534	848	737
535	849	735
536	851	733
537	852	731
538	853	730
539	854	728
540	856	726
541	857	724
542	858	722
