iter	Passed	Remaining
0	0	801
1	1	728
2	2	705
3	2	681
4	3	686
5	3	652
6	4	664
7	5	662
8	6	665
9	6	661
10	7	665
11	8	662
12	8	659
13	9	655
14	9	653
15	10	655
16	11	652
17	11	649
18	12	647
19	13	644
20	13	642
21	14	641
22	15	640
23	15	643
24	16	642
25	17	642
26	17	642
27	18	643
28	22	742
29	22	742
30	24	752
31	24	753
32	25	751
33	26	750
34	27	752
35	28	754
36	29	779
37	30	776
38	31	772
39	32	769
40	33	785
41	34	783
42	35	779
43	35	775
44	36	772
45	37	768
46	37	766
47	38	764
48	39	762
49	40	760
50	40	757
51	41	755
52	42	752
53	43	756
54	43	754
55	44	750
56	45	747
57	45	743
58	46	740
59	47	737
60	47	735
61	48	733
62	49	731
63	49	728
64	50	726
65	51	724
66	51	722
67	52	714
68	52	713
69	53	710
70	54	710
71	54	708
72	55	706
73	56	704
74	56	702
75	57	699
76	58	697
77	58	695
78	59	693
79	60	691
80	60	689
81	61	687
82	62	685
83	62	683
84	63	681
85	63	679
86	64	677
87	65	675
88	65	673
89	66	671
90	67	669
91	67	667
92	68	665
93	68	663
94	69	661
95	70	659
96	70	658
97	71	656
98	71	654
99	72	652
100	73	651
101	73	649
102	74	648
103	75	646
104	75	644
105	75	639
106	76	638
107	77	637
108	77	635
109	78	633
110	78	632
111	79	630
112	79	627
113	80	626
114	81	624
115	81	623
116	82	622
117	83	620
118	83	619
119	84	618
120	84	616
121	85	615
122	86	614
123	86	610
124	86	607
125	87	606
126	88	605
127	88	604
128	89	602
129	89	601
130	90	600
131	91	599
132	91	598
133	92	595
134	92	595
135	93	594
136	94	593
137	94	592
138	95	591
139	95	587
140	96	586
141	96	585
142	97	584
143	98	583
144	98	582
145	99	581
146	99	580
147	100	578
148	101	577
149	101	576
150	102	575
151	103	574
152	103	573
153	104	573
154	104	572
155	105	571
156	106	570
157	106	569
158	107	568
159	108	567
160	108	567
161	109	566
162	110	566
163	110	565
164	111	564
165	112	563
166	112	562
167	113	561
168	113	560
169	114	558
170	115	557
171	115	556
172	116	555
173	116	554
174	117	554
175	118	553
176	118	552
177	119	551
178	119	550
179	120	549
180	121	548
181	121	547
182	122	546
183	123	545
184	123	544
185	124	543
186	124	542
187	125	541
188	126	540
189	126	540
190	127	539
191	127	538
192	128	537
193	129	536
194	129	535
195	130	534
196	130	533
197	131	533
198	132	532
199	132	531
200	133	530
201	134	529
202	134	528
203	135	527
204	135	526
205	136	526
206	137	525
207	137	524
208	138	523
209	138	522
210	139	521
211	140	520
212	140	520
213	141	519
214	141	518
215	142	517
216	143	516
217	143	515
218	144	514
219	144	513
220	145	512
221	145	511
222	146	510
223	147	509
224	147	509
225	148	508
226	149	507
227	149	506
228	150	505
229	150	505
230	151	504
231	152	503
232	152	502
233	153	501
234	153	501
235	154	500
236	155	499
237	155	498
238	156	497
239	156	497
240	157	496
241	158	495
242	158	494
243	159	494
244	160	493
245	160	492
246	161	491
247	161	490
248	162	490
249	163	489
250	163	488
251	164	488
252	165	487
253	165	486
254	166	486
255	166	485
256	167	484
257	168	483
258	168	483
259	169	482
260	170	481
261	170	480
262	171	480
263	171	479
264	172	478
265	173	477
266	173	476
267	174	476
268	174	475
269	175	474
270	176	474
271	176	473
272	177	472
273	178	471
274	178	470
275	179	470
276	179	469
277	180	468
278	181	468
279	181	467
280	182	466
281	182	465
282	183	465
283	184	464
284	184	463
285	185	462
286	186	462
287	186	461
288	187	460
289	187	460
290	188	459
291	189	458
292	189	457
293	190	457
294	190	456
295	191	455
296	192	454
297	192	454
298	193	453
299	193	452
300	194	451
301	195	451
302	195	450
303	196	449
304	197	448
305	197	448
306	198	447
307	198	446
308	199	446
309	200	445
310	200	444
311	201	443
312	201	443
313	202	442
314	203	441
315	203	441
316	204	440
317	204	439
318	205	438
319	206	438
320	206	437
321	207	436
322	208	436
323	208	435
324	209	434
325	210	434
326	210	433
327	211	432
328	211	432
329	212	431
330	213	430
331	213	430
332	214	429
333	214	428
334	215	427
335	216	427
336	216	426
337	217	425
338	217	424
339	218	424
340	219	423
341	219	422
342	220	422
343	221	421
344	221	420
345	222	420
346	222	419
347	223	418
348	224	418
349	224	417
350	225	416
351	226	416
352	226	415
353	227	414
354	227	413
355	228	413
356	229	412
357	229	411
358	230	411
359	230	410
360	231	409
361	232	409
362	232	408
363	233	407
364	233	407
365	234	406
366	235	405
367	235	405
368	236	404
369	237	403
370	237	402
371	238	402
372	238	401
373	239	400
374	240	400
375	240	399
376	241	398
377	241	398
378	242	397
379	243	396
380	243	396
381	244	395
382	244	394
383	245	393
384	246	393
385	246	392
386	247	391
387	248	391
388	248	390
